=== CONDUCTOR PLAN PROGRESSION (120k→800k session, 70k budget, my-customize-conductor) ===
Each line: plan #N: X folds, Y groups
Stable group count (1) = one rollover group replayed per turn
Growing fold count = new blocks folded as context grows
No restores = frozen prefix respected (the fix)

Accordion connected (1 attached)
plan #950: 52 folds, 1 groups (logged, not applied)
plan #951: 52 folds, 1 groups (logged, not applied)
plan #952: 52 folds, 1 groups (logged, not applied)
plan #953: 52 folds, 1 groups (logged, not applied)
plan #954: 52 folds, 1 groups (logged, not applied)
plan #955: 52 folds, 1 groups (logged, not applied)
plan #956: 52 folds, 1 groups (logged, not applied)
plan #957: 52 folds, 1 groups (logged, not applied)
plan #958: 52 folds, 1 groups (logged, not applied)
plan #959: 52 folds, 1 groups (logged, not applied)
plan #960: 52 folds, 1 groups (logged, not applied)
plan #961: 52 folds, 1 groups (logged, not applied)
plan #962: 52 folds, 1 groups (logged, not applied)
plan #963: 52 folds, 1 groups (logged, not applied)
plan #964: 52 folds, 1 groups (logged, not applied)
plan #965: 52 folds, 1 groups (logged, not applied)
plan #966: 54 folds, 1 groups (logged, not applied)
plan #967: 55 folds, 1 groups (logged, not applied)
plan #968: 55 folds, 1 groups (logged, not applied)
plan #969: 55 folds, 1 groups (logged, not applied)
plan #970: 55 folds, 1 groups (logged, not applied)
plan #971: 55 folds, 1 groups (logged, not applied)
plan #972: 55 folds, 1 groups (logged, not applied)
plan #973: 55 folds, 1 groups (logged, not applied)
plan #974: 55 folds, 1 groups (logged, not applied)
plan #975: 55 folds, 1 groups (logged, not applied)
plan #976: 55 folds, 1 groups (logged, not applied)
plan #977: 55 folds, 1 groups (logged, not applied)
plan #978: 55 folds, 1 groups (logged, not applied)
plan #979: 56 folds, 1 groups (logged, not applied)
plan #980: 57 folds, 1 groups (logged, not applied)
plan #981: 57 folds, 1 groups (logged, not applied)
plan #982: 57 folds, 1 groups (logged, not applied)
plan #983: 57 folds, 1 groups (logged, not applied)
